locID;name;countryEN;countryRU;lat_deg;lat_deg_sign;lat_min;lat_sec;lon_deg;lon_deg_sign;lon_min;lon_sec;property;buffer;siteID;latitude;longitude;countryCode
798-002;Sundarbans South Sanctuary;Bangladesh;Бангладеш;N21;21;47;48.552;E89;89;24;25.402;37,000 ha;;798;21.79682;89.4070561;bgd
798-003;Sundarbans East Sanctuary;Bangladesh;Бангладеш;N21;21;56;40.891;E89;89;46;40.21;31,000 ha;;798;21.9446919;89.7778361;bgd
1187-001;FUGLENAES Fuglenes;Norway;Норвегия;N70;70;40;12;E23;23;39;48;0.075 ha;0.15 ha;1187;70.67;23.6633333;nor
1187-002;LILLE-REIPAS Raipas;Norway;Норвегия;N69;69;56;19;E23;23;21;37;0.01 ha;0.1 ha;1187;69.9386111;23.3602778;nor
1187-003;LOHDIZHJOKKI Luvdiidcohkka;Norway;Норвегия;N69;69;39;52;E23;23;36;8;0.01 ha;0.1 ha;1187;69.6644444;23.6022222;nor
1187-004;BÄLJATZ-VAARA Baelljasvarri;Norway;Норвегия;N69;69;1;43;E23;23;18;19;0.01 ha;0.1 ha;1187;69.0286111;23.3052778;nor
1187-005;PAJTAS-VAARA Tynnyrilaki;Sweden;Швеция;N68;68;15;18;E22;22;58;59;0.01 ha;0.1 ha;1187;68.255;22.9830556;swe
1187-006;KERROJUPUKKA Jupukka;Sweden;Швеция;N67;67;16;36;E23;23;14;35;0.01 ha;0.1 ha;1187;67.2766667;23.2430556;swe
1187-007;PULLINKI Pullinki;Sweden;Швеция;N66;66;38;47;E23;23;46;55;0.01 ha;0.1 ha;1187;66.6463889;23.7819444;swe
1187-008;PERRA-VAARA Perävaara;Sweden;Швеция;N66;66;1;5;E23;23;55;21;0.01 ha;0.1 ha;1187;66.0180556;23.9225;swe
1187-009;STUOR-OIVI Stuorrahanoaivi;Finland;Финляндия;N68;68;40;57;E22;22;44;45;0.0314 ha;0.1964 ha;1187;68.6825;22.7458333;fin
1187-010;AVASAKSA Aavasaksa;Finland;Финляндия;N66;66;23;52;E23;23;43;31;0.0079 ha;0.7854 ha;1187;66.3977778;23.7252778;fin
1187-011;TORNEA Alatornion kirkko;Finland;Финляндия;N65;65;49;48;E24;24;9;26;0.16 ha;1.93 ha;1187;65.83;24.1572222;fin
1187-012;PUOLAKKA Oravivuori;Finland;Финляндия;N61;61;55;36;E25;25;32;1;0.0079 ha;0.09 ha;1187;61.9266667;25.5336111;fin
1187-013;PORLOM II Tornikallio;Finland;Финляндия;N60;60;42;17;E26;26;0;12;0.0079 ha;0.1257 ha;1187;60.7047222;26.0033333;fin
1187-014;SVARTVIRA Mustaviiri;Finland;Финляндия;N60;60;16;35;E26;26;36;12;0.0079 ha;0.5027 ha;1187;60.2763889;26.6033333;fin
1187-015;MÄKI-PÄÄLYS Mäkipällys;Russian Federation;Российская Федерация;N60;60;4;27;E26;26;58;11;0.0006 ha;1.54 ha;1187;60.0741667;26.9697222;rus
1187-016;HOGLAND, Z Gogland, Tochka Z;Russian Federation;Российская Федерация;N60;60;5;7;E26;26;57;40;0.0013 ha;1.54 ha;1187;60.0852778;26.9611111;rus
1187-017;WOIBIFER Võivere;Estonia;Эстония;N59;59;3;28;E26;26;20;16;0.01 ha;0.5 ha;1187;59.0577778;26.3377778;est
1187-018;KATKO Simuna;Estonia;Эстония;N59;59;2;54;E26;26;24;51;0.01 ha;0.5 ha;1187;59.0483333;26.4141667;est
1187-019;DORPAT Tartu Observatory;Estonia;Эстония;N58;58;22;44;E26;26;43;12;0.12 ha;0.5 ha;1187;58.3788889;26.72;est
1187-020;SESTU-KALNS Ziestu;Latvia;Латвия;N56;56;50;24;E25;25;38;12;0.01 ha;1.3 ha;1187;56.84;25.6366667;lva
1187-021;JACOBSTADT Jekabpils;Latvia;Латвия;N56;56;30;5;E25;25;51;24;0.0002 ha;0.12 ha;1187;56.5013889;25.8566667;lva
1187-022;KARISCHKI Gireišiai;Lithuania;Литва;N55;55;54;9;E25;25;26;12;0.01 ha;0.1 ha;1187;55.9025;25.4366667;ltu
1187-023;MESCHKANZI Meškonys;Lithuania;Литва;N54;54;55;51;E25;25;19;0;0.01 ha;0.1 ha;1187;54.9308333;25.3166667;ltu
1187-024;BERESNÄKI Paliepiukai;Lithuania;Литва;N54;54;38;4;E25;25;25;45;0.01 ha;0.1 ha;1187;54.6344444;25.4291667;ltu
1187-025;TUPISCHKI Tupishki;Belarus;Беларусь;N54;54;17;30;E26;26;2;43;0.0023 ha;0.01 ha;1187;54.2916667;26.0452778;blr
1187-026;LOPATI Lopaty;Belarus;Беларусь;N53;53;33;38;E24;24;52;11;0.0023 ha;0.01 ha;1187;53.5605556;24.8697222;blr
1187-027;OSSOWNITZA Ossovnitsa;Belarus;Беларусь;N52;52;17;22;E25;25;38;58;0.0023 ha;0.01 ha;1187;52.2894444;25.6494444;blr
1187-028;TCHEKUTSK Chekutsk;Belarus;Беларусь;N52;52;12;28;E25;25;33;23;0.0023 ha;0.01 ha;1187;52.2077778;25.5563889;blr
1187-029;LESKOWITSCHI Leskovichi;Belarus;Беларусь;N52;52;9;39;E25;25;34;17;0.0023 ha;0.01 ha;1187;52.1608333;25.5713889;blr
1187-030;RUDY Rudi;Republic of Moldova;Республика Молдова;N48;48;19;8;E27;27;52;36;0.0023 ha;0.1 ha;1187;48.3188889;27.8766667;mda
1187-031;KATERINOWKA Katerinowka;Ukraine;Украина;N49;49;33;57;E26;26;45;22;0.0036 ha;0.01 ha;1187;49.5658333;26.7561111;ukr
1187-032;FELSCHTIN Felschtin;Ukraine;Украина;N49;49;19;48;E26;26;40;55;0.0025 ha;0.01 ha;1187;49.33;26.6819444;ukr
1187-033;BARANOWKA Baranowka;Ukraine;Украина;N49;49;8;55;E26;26;59;30;0.001 ha;0.004 ha;1187;49.1486111;26.9916667;ukr
1187-034;STARO-NEKRASSOWKA Stara Nekrasivka;Ukraine;Украина;N45;45;19;54;E28;28;55;41;0.0025 ha;0.012 ha;1187;45.3316667;28.9280556;ukr
33ter-001;Bialowieza Forest;Belarus;Беларусь;N52;52;43;39;E23;23;58;52;82,308 ha;130,873 ha;33;52.7275;23.9811111;blr
33ter-002;Bialowieza Forest;Poland;Польша;N52;52;43;39;E23;23;53;57;59,577 ha;35,835 ha;33;52.7275;23.8991667;pol
855-001;Béguinage de Hoogstraten;Belgium;Бельгия;N51;51;24;13.5;E4;4;45;45.1;1.7 ha;—;855;51.40375;4.7625278;bel
855-002;Béguinage de Lier (Lierre);Belgium;Бельгия;N51;51;7;46.2;E4;4;34;6.5;3.4 ha;—;855;51.1295;4.5684722;bel
